###############################################################################################
#  The following is a listing of the event catalog processing status for year 2014
#  Historically, SCSN analysts have made an effort to review every event in    
#  our catalog. With the growth of the network and catalog, however, complete  
#  review has become more difficult with our limited staff. This is            
#  particularly true of the 2019 Ridgecrest sequence, which remains largely    
#  unreviewed below M2.5.
#  Below we provide information about the review status of the SCSN local event
#  catalog. We hope our catalog users will find this additional context useful.
#  Finalized events have undergone full review and analysis and are unlikely to
#  change. Subnet triggers are collections of phase picks that the real-time   
#  system could not associate into an event. Some of the triggers may be events
#  that are later added to the catalog, although most are just noise. Lastly,  
#  events are sometimes added to the catalog as part of the review process, so 
#  the total number of events can increase. 
# 
#  catalog_date:       The day in UTC time which events occurred. 
#  pct_complete:       Finalized events/(finalized + unreviewed + partial reviewed events) as % 
#                        NaN in this column means there were no events in this day.
#  unreviewed:         Number of real time detected events that have not gone through any review
#  incomplete:         Number of events that have gone through partial review
#  subtrig_cnt:        Number of subnet triggers 
#  max_unreviewed_mag: Highest magnitude of unreviewed event on this day in the catalog
#                        NA in this column means there were no unreviewed events in this day
###############################################################################################
#   
#catalog_date, pct_complete, unreviewed, incomplete, subtrig_cnt, max_unreviewed_mag
2014/01/01,100.0,0,0,0,NA
2014/01/02,100.0,0,0,0,NA
2014/01/03,100.0,0,0,0,NA
2014/01/04,100.0,0,0,0,NA
2014/01/05,100.0,0,0,1,NA
2014/01/06,100.0,0,0,1,NA
2014/01/07,100.0,0,0,0,NA
2014/01/08,100.0,0,0,0,NA
2014/01/09,100.0,0,0,0,NA
2014/01/10,100.0,0,0,2,NA
2014/01/11,100.0,0,0,0,NA
2014/01/12,100.0,0,0,0,NA
2014/01/13,100.0,0,0,0,NA
2014/01/14,100.0,0,0,0,NA
2014/01/15,100.0,0,0,0,NA
2014/01/16,100.0,0,0,1,NA
2014/01/17,100.0,0,0,1,NA
2014/01/18,100.0,0,0,0,NA
2014/01/19,97.6,1,0,0,1.34
2014/01/20,100.0,0,0,0,NA
2014/01/21,100.0,0,0,0,NA
2014/01/22,100.0,0,0,0,NA
2014/01/23,100.0,0,0,0,NA
2014/01/24,100.0,0,0,0,NA
2014/01/25,100.0,0,0,0,NA
2014/01/26,100.0,0,0,0,NA
2014/01/27,100.0,0,0,0,NA
2014/01/28,100.0,0,0,0,NA
2014/01/29,100.0,0,0,1,NA
2014/01/30,100.0,0,0,0,NA
2014/01/31,100.0,0,0,1,NA
2014/02/01,100.0,0,0,0,NA
2014/02/02,100.0,0,0,0,NA
2014/02/03,100.0,0,0,0,NA
2014/02/04,100.0,0,0,0,NA
2014/02/05,100.0,0,0,0,NA
2014/02/06,100.0,0,0,0,NA
2014/02/07,100.0,0,0,1,NA
2014/02/08,100.0,0,0,0,NA
2014/02/09,100.0,0,0,0,NA
2014/02/10,100.0,0,0,0,NA
2014/02/11,100.0,0,0,0,NA
2014/02/12,100.0,0,0,0,NA
2014/02/13,100.0,0,0,0,NA
2014/02/14,100.0,0,0,1,NA
2014/02/15,100.0,0,0,0,NA
2014/02/16,100.0,0,0,0,NA
2014/02/17,100.0,0,0,0,NA
2014/02/18,100.0,0,0,0,NA
2014/02/19,100.0,0,0,0,NA
2014/02/20,100.0,0,0,1,NA
2014/02/21,100.0,0,0,0,NA
2014/02/22,100.0,0,0,0,NA
2014/02/23,100.0,0,0,1,NA
2014/02/24,100.0,0,0,0,NA
2014/02/25,100.0,0,0,0,NA
2014/02/26,100.0,0,0,0,NA
2014/02/27,100.0,0,0,0,NA
2014/02/28,100.0,0,0,0,NA
2014/03/01,100.0,0,0,0,NA
2014/03/02,100.0,0,0,1,NA
2014/03/03,100.0,0,0,1,NA
2014/03/04,100.0,0,0,0,NA
2014/03/05,100.0,0,0,0,NA
2014/03/06,100.0,0,0,2,NA
2014/03/07,100.0,0,0,1,NA
2014/03/08,100.0,0,0,0,NA
2014/03/09,100.0,0,0,1,NA
2014/03/10,100.0,0,0,1,NA
2014/03/11,100.0,0,0,0,NA
2014/03/12,100.0,0,0,0,NA
2014/03/13,100.0,0,0,0,NA
2014/03/14,100.0,0,0,1,NA
2014/03/15,100.0,0,0,0,NA
2014/03/16,100.0,0,0,0,NA
2014/03/17,100.0,0,0,0,NA
2014/03/18,100.0,0,0,0,NA
2014/03/19,100.0,0,0,1,NA
2014/03/20,100.0,0,0,0,NA
2014/03/21,100.0,0,0,0,NA
2014/03/22,100.0,0,0,1,NA
2014/03/23,100.0,0,0,1,NA
2014/03/24,100.0,0,0,0,NA
2014/03/25,100.0,0,0,2,NA
2014/03/26,100.0,0,0,1,NA
2014/03/27,100.0,0,0,0,NA
2014/03/28,100.0,0,0,1,NA
2014/03/29,100.0,0,0,0,NA
2014/03/30,100.0,0,0,0,NA
2014/03/31,100.0,0,0,2,NA
2014/04/01,100.0,0,0,0,NA
2014/04/02,100.0,0,0,0,NA
2014/04/03,100.0,0,0,1,NA
2014/04/04,100.0,0,0,0,NA
2014/04/05,100.0,0,0,0,NA
2014/04/06,100.0,0,0,0,NA
2014/04/07,100.0,0,0,2,NA
2014/04/08,100.0,0,0,0,NA
2014/04/09,100.0,0,0,1,NA
2014/04/10,100.0,0,0,0,NA
2014/04/11,100.0,0,0,0,NA
2014/04/12,100.0,0,0,0,NA
2014/04/13,100.0,0,0,0,NA
2014/04/14,100.0,0,0,0,NA
2014/04/15,100.0,0,0,1,NA
2014/04/16,100.0,0,0,0,NA
2014/04/17,100.0,0,0,1,NA
2014/04/18,100.0,0,0,2,NA
2014/04/19,100.0,0,0,1,NA
2014/04/20,100.0,0,0,0,NA
2014/04/21,100.0,0,0,0,NA
2014/04/22,100.0,0,0,0,NA
2014/04/23,100.0,0,0,0,NA
2014/04/24,100.0,0,0,0,NA
2014/04/25,100.0,0,0,0,NA
2014/04/26,100.0,0,0,0,NA
2014/04/27,100.0,0,0,0,NA
2014/04/28,100.0,0,0,0,NA
2014/04/29,100.0,0,0,0,NA
2014/04/30,100.0,0,0,0,NA
2014/05/01,100.0,0,0,0,NA
2014/05/02,100.0,0,0,0,NA
2014/05/03,100.0,0,0,1,NA
2014/05/04,100.0,0,0,0,NA
2014/05/05,100.0,0,0,0,NA
2014/05/06,100.0,0,0,0,NA
2014/05/07,100.0,0,0,0,NA
2014/05/08,100.0,0,0,1,NA
2014/05/09,100.0,0,0,1,NA
2014/05/10,100.0,0,0,0,NA
2014/05/11,100.0,0,0,1,NA
2014/05/12,100.0,0,0,0,NA
2014/05/13,100.0,0,0,0,NA
2014/05/14,100.0,0,0,2,NA
2014/05/15,100.0,0,0,0,NA
2014/05/16,100.0,0,0,0,NA
2014/05/17,100.0,0,0,0,NA
2014/05/18,100.0,0,0,0,NA
2014/05/19,100.0,0,0,0,NA
2014/05/20,100.0,0,0,1,NA
2014/05/21,100.0,0,0,1,NA
2014/05/22,100.0,0,0,0,NA
2014/05/23,100.0,0,0,2,NA
2014/05/24,100.0,0,0,0,NA
2014/05/25,100.0,0,0,1,NA
2014/05/26,100.0,0,0,0,NA
2014/05/27,100.0,0,0,0,NA
2014/05/28,100.0,0,0,0,NA
2014/05/29,100.0,0,0,0,NA
2014/05/30,100.0,0,0,0,NA
2014/05/31,100.0,0,0,1,NA
2014/06/01,100.0,0,0,0,NA
2014/06/02,100.0,0,0,1,NA
2014/06/03,100.0,0,0,0,NA
2014/06/04,100.0,0,0,0,NA
2014/06/05,100.0,0,0,0,NA
2014/06/06,100.0,0,0,0,NA
2014/06/07,100.0,0,0,0,NA
2014/06/08,100.0,0,0,0,NA
2014/06/09,100.0,0,0,0,NA
2014/06/10,100.0,0,0,0,NA
2014/06/11,100.0,0,0,0,NA
2014/06/12,100.0,0,0,0,NA
2014/06/13,100.0,0,0,0,NA
2014/06/14,100.0,0,0,0,NA
2014/06/15,100.0,0,0,1,NA
2014/06/16,100.0,0,0,0,NA
2014/06/17,100.0,0,0,0,NA
2014/06/18,100.0,0,0,0,NA
2014/06/19,100.0,0,0,0,NA
2014/06/20,100.0,0,0,1,NA
